tconst,title,genres,averagerating,numvotes,studio,domestic_gross,popularity,release_date,vote_average,vote_count,month
tt0337692,On the Road,"['Adventure', 'Drama', 'Romance']",6.1,37886,IFC,744000.0,8.919,2012-12-21,5.6,518,12
tt0365907,A Walk Among the Tombstones,"['Action', 'Crime', 'Drama']",6.5,105116,Uni.,26300000.0,19.373,2014-09-19,6.3,1685,9
tt0369610,Jurassic World,"['Action', 'Adventure', 'Sci-Fi']",7.0,539338,Uni.,652300000.0,20.709,2015-06-12,6.6,14056,6
tt0372538,Spy,"['Action', 'Crime', 'Drama']",6.6,78,Fox,110800000.0,1.4,2011-08-09,7.0,1,8
tt0376479,American Pastoral,"['Crime', 'Drama']",6.1,12898,LGF,544000.0,7.782,2016-10-21,6.0,339,10
tt0383010,The Three Stooges,"['Comedy', 'Family']",5.1,28570,Fox,44300000.0,9.357999999999999,2012-04-13,5.1,215,4
tt0398286,Tangled,"['Adventure', 'Animation', 'Comedy']",7.8,366366,BV,200800000.0,21.511,2010-11-24,7.5,6407,11
tt0401729,John Carter,"['Action', 'Adventure', 'Sci-Fi']",6.6,241792,BV,73100000.0,18.549,2012-03-09,6.1,3338,3
tt0409847,Cowboys & Aliens,"['Action', 'Sci-Fi', 'Thriller']",6.0,195889,Uni.,100200000.0,16.293,2011-07-29,5.5,3110,7
tt0419692,Disconnect,"['Drama', 'Mystery', 'Sci-Fi']",4.5,190,LD,1400000.0,0.706,2010-08-06,6.7,3,8
tt0427152,Dinner for Schmucks,['Comedy'],5.9,91546,P/DW,73000000.0,6.632000000000001,2010-07-30,5.6,920,7
tt0429493,The A-Team,"['Action', 'Adventure', 'Thriller']",6.8,235256,Fox,77200000.0,17.097,2010-06-11,6.3,2703,6
tt0431021,The Possession,"['Horror', 'Mystery', 'Thriller']",5.9,53649,LGF,49100000.0,8.978,2012-08-31,5.9,918,8
tt0433035,Real Steel,"['Action', 'Drama', 'Family']",7.1,283534,BV,85500000.0,14.811,2011-10-06,6.8,4566,10
tt0435651,The Giver,"['Drama', 'Romance', 'Sci-Fi']",6.5,104999,Wein.,45100000.0,8.687000000000001,2014-08-11,6.5,3075,8
tt0435761,Toy Story 3,"['Adventure', 'Animation', 'Comedy']",8.3,682218,BV,415000000.0,24.445,2010-06-17,7.7,8340,6
tt0443272,Lincoln,"['Biography', 'Drama', 'History']",7.4,228701,BV,182200000.0,12.693,2012-11-16,6.8,2261,11
tt0443465,Before We Go,"['Comedy', 'Drama', 'Romance']",6.8,45181,RTWC,37200.0,8.232999999999999,2015-05-21,6.5,985,5
tt0446029,Scott Pilgrim vs. the World,"['Action', 'Comedy', 'Fantasy']",7.5,339338,Uni.,31500000.0,14.383,2010-08-13,7.3,3882,8
tt0448694,Puss in Boots,"['Action', 'Adventure', 'Animation']",6.6,133355,P/DW,149300000.0,9.078,2011-10-28,6.3,1422,10
tt0451279,Wonder Woman,"['Action', 'Adventure', 'Fantasy']",7.5,487527,WB,412600000.0,2.841,2013-09-29,5.9,34,9
tt0454876,Life of Pi,"['Adventure', 'Drama', 'Fantasy']",7.9,535836,Fox,125000000.0,15.0,2012-11-21,7.3,8723,11
tt0455407,The Crazies,"['Horror', 'Thriller']",6.5,104465,Over.,39100000.0,12.245999999999999,2010-02-26,6.2,1036,2
tt0455944,The Equalizer,"['Action', 'Crime', 'Thriller']",7.2,302302,Sony,101500000.0,28.941999999999997,2014-09-26,7.2,4989,9
tt0458339,Captain America: The First Avenger,"['Action', 'Adventure', 'Sci-Fi']",6.9,668137,Par.,176700000.0,25.808000000000003,2011-07-22,6.9,12810,7
tt0462335,High-Rise,"['Drama', 'Horror', 'Sci-Fi']",5.6,33746,Magn.,346000.0,8.474,2016-04-28,5.5,610,4
tt0464154,Piranha 3D,"['Comedy', 'Horror']",5.4,81327,W/Dim.,25000000.0,11.302,2010-08-20,5.3,1029,8
tt0470752,Ex Machina,"['Drama', 'Mystery', 'Sci-Fi']",7.7,424542,A24,25400000.0,18.485,2015-04-10,7.6,8026,4
tt0471042,Tower Heist,"['Action', 'Comedy', 'Crime']",6.2,125102,Uni.,78000000.0,12.213,2011-11-04,6.0,1592,11
tt0472181,The Smurfs,"['Adventure', 'Animation', 'Comedy']",5.5,77577,Sony,142600000.0,16.533,2011-07-29,5.6,2112,7
tt0472399,The Mechanic,"['Action', 'Crime', 'Thriller']",6.6,141254,CBS,29100000.0,14.387,2011-01-28,6.3,1676,1
tt0473075,Prince of Persia: The Sands of Time,"['Action', 'Adventure', 'Fantasy']",6.6,254975,BV,90800000.0,13.44,2010-05-27,6.2,4040,5
tt0475290,"Hail, Caesar!","['Comedy', 'Drama', 'Music']",6.3,111422,Uni.,30500000.0,12.312000000000001,2016-02-05,5.9,2328,2
tt0477080,Unstoppable,"['Action', 'Thriller']",6.8,173019,Fox,81600000.0,14.01,2010-11-12,6.4,1913,11
tt0477302,Extremely Loud & Incredibly Close,"['Adventure', 'Drama', 'Mystery']",6.9,93164,WB,31800000.0,9.828,2011-12-24,7.0,1231,12
tt0478304,The Tree of Life,"['Drama', 'Fantasy']",6.8,156266,FoxS,13300000.0,11.569,2011-05-27,6.6,1730,5
tt0478970,Ant-Man,"['Action', 'Adventure', 'Comedy']",7.3,501213,BV,180200000.0,32.715,2015-07-17,7.1,11949,7
tt0479997,Season of the Witch,"['Action', 'Adventure', 'Fantasy']",5.4,85777,Rela.,24800000.0,12.535,2011-01-07,5.3,1352,1
tt0480255,The Losers,"['Action', 'Adventure', 'Crime']",6.4,83876,WB,23600000.0,10.202,2010-04-23,6.2,844,4
tt0481499,The Croods,"['Action', 'Adventure', 'Animation']",7.2,176699,Fox,187200000.0,16.29,2013-03-22,6.8,3873,3
tt0491152,Something Borrowed,"['Comedy', 'Drama', 'Romance']",5.9,54314,WB,39000000.0,7.567,2011-05-05,6.1,591,5
tt0492389,Furry Vengeance,"['Comedy', 'Family']",3.8,14700,Sum.,17600000.0,9.45,2010-04-02,4.6,283,4
tt0493949,Ramona and Beezus,"['Adventure', 'Comedy', 'Family']",6.6,16086,Fox,26200000.0,7.442,2010-07-23,6.3,460,7
tt0498381,Rings,"['Drama', 'Horror', 'Mystery']",4.5,34151,Par.,27800000.0,13.53,2017-02-03,4.9,1785,2
tt0770828,Man of Steel,"['Action', 'Adventure', 'Sci-Fi']",7.1,647288,WB,291000000.0,27.666999999999998,2013-06-14,6.5,9758,6
