count,mean,std,min,25%,50%,75%,max
27.0,248196296.2962963,189110668.61960748,27600000.0,90050000.0,216600000.0,324150000.0,700100000.0
51.0,215531372.5490196,166615261.59412417,12400000.0,88950000.0,200800000.0,264150000.0,700100000.0
36.0,159230555.55555555,127660101.87647162,10100000.0,51725000.0,140450000.0,221775000.0,486300000.0
42.0,105592857.14285715,78513952.13235994,12700000.0,50425000.0,81650000.0,146050000.0,363100000.0
49.0,116336734.65306123,72208960.94470923,12700000.0,64099999.0,107500000.0,146900000.0,363100000.0
53.0,79350943.35849057,68601467.85568438,3700000.0,36700000.0,60300000.0,100200000.0,363100000.0
29.0,121682758.5862069,99735060.01410434,20300000.0,50700000.0,78700000.0,176600000.0,404500000.0
24.0,127429166.66666667,105427215.68917115,34300000.0,46650000.0,83100000.0,175650000.0,404500000.0
37.0,94943243.1891892,69765916.30210108,21100000.0,45300000.0,78700000.0,119800000.0,404500000.0
46.0,89135260.86956522,112384421.90296556,22000.0,29475000.0,65950000.0,104025000.0,652300000.0
32.0,124065625.0,150439786.71017593,2200000.0,36450000.0,64950000.0,128425000.0,652300000.0
59.0,94886440.6779661,87743457.28163148,4400000.0,36350000.0,65000000.0,117900000.0,368400000.0
42.0,129909523.8095238,121489312.60739149,3700000.0,40300000.0,85000000.0,182125000.0,448100000.0
34.0,132023529.41176471,107407254.02629381,17500000.0,49475000.0,100350000.0,165975000.0,412600000.0
31.0,68303225.80645162,49909514.68321425,1800000.0,37650000.0,54700000.0,85650000.0,254500000.0
