studio,month,day,genre,domestic_gross
BV,6,mid,comedy_gross,415000000.0
BV,11,end,comedy_gross,200800000.0
Uni.,7,beg,comedy_gross,251500000.0
Uni.,12,end,comedy_gross,148400000.0
Sony,6,end,comedy_gross,162000000.0
Fox,12,end,comedy_gross,42800000.0
WB,11,beg,comedy_gross,100500000.0
WB,12,mid,comedy_gross,100200000.0
Sony,8,beg,comedy_gross,119200000.0
Fox,4,beg,comedy_gross,98700000.0
Sony,3,mid,comedy_gross,67099999.0
WB,7,end,comedy_gross,43600000.0
Fox,1,end,comedy_gross,60000000.0
Uni.,6,beg,comedy_gross,61000000.0
Fox,6,beg,comedy_gross,33600000.0
Fox,8,mid,comedy_gross,36700000.0
Fox,3,mid,comedy_gross,64000000.0
WB,2,end,comedy_gross,44900000.0
Sony,12,mid,comedy_gross,30200000.0
Uni.,8,mid,comedy_gross,31500000.0
BV,1,end,comedy_gross,32700000.0
Uni.,1,beg,comedy_gross,25900000.0
BV,9,end,comedy_gross,25700000.0
Fox,7,end,comedy_gross,26200000.0
Uni.,5,end,comedy_gross,8500000.0
WB,8,beg,comedy_gross,1800000.0
WB,5,end,comedy_gross,254500000.0
Sony,7,end,comedy_gross,142600000.0
BV,6,mid,comedy_gross,191500000.0
Fox,4,mid,comedy_gross,143600000.0
Fox,12,mid,comedy_gross,133100000.0
Uni.,5,mid,comedy_gross,169100000.0
Sony,1,mid,comedy_gross,98800000.0
Sony,6,mid,comedy_gross,100300000.0
Fox,6,mid,comedy_gross,68200000.0
Uni.,4,beg,comedy_gross,108100000.0
Sony,7,beg,comedy_gross,80400000.0
BV,11,end,comedy_gross,88600000.0
Uni.,10,end,comedy_gross,8300000.0
Uni.,11,beg,comedy_gross,78000000.0
WB,11,mid,comedy_gross,64000000.0
Sony,11,mid,comedy_gross,74200000.0
Sony,11,end,comedy_gross,46500000.0
WB,7,end,comedy_gross,84400000.0
Fox,12,end,comedy_gross,75600000.0
Uni.,3,mid,comedy_gross,37400000.0
Fox,2,mid,comedy_gross,37900000.0
Uni.,8,beg,comedy_gross,37100000.0
Fox,3,end,comedy_gross,52700000.0
Uni.,6,end,comedy_gross,35600000.0
Uni.,1,mid,comedy_gross,48500000.0
WB,5,beg,comedy_gross,39000000.0
BV,7,mid,comedy_gross,26700000.0
Sony,8,mid,comedy_gross,37100000.0
Fox,7,beg,comedy_gross,23200000.0
Fox,12,beg,comedy_gross,30400000.0
Fox,9,end,comedy_gross,14000000.0
Uni.,1,beg,comedy_gross,21600000.0
BV,4,end,comedy_gross,10100000.0
Fox,10,mid,comedy_gross,7200000.0
Fox,7,mid,comedy_gross,161300000.0
Uni.,6,end,comedy_gross,218800000.0
BV,6,end,comedy_gross,237300000.0
BV,11,beg,comedy_gross,189400000.0
Sony,9,end,comedy_gross,148300000.0
WB,5,mid,comedy_gross,79700000.0
Uni.,4,beg,comedy_gross,57000000.0
Sony,3,mid,comedy_gross,138400000.0
WB,6,end,comedy_gross,113700000.0
Fox,2,mid,comedy_gross,54800000.0
Fox,12,end,comedy_gross,77300000.0
Uni.,9,end,comedy_gross,65000000.0
Sony,8,beg,comedy_gross,63500000.0
WB,8,beg,comedy_gross,86900000.0
